,papers,Year
27,"Tang Yanyan, Zhang Qi, Li Yaoming, Wang Ge, Li Yan. Recycling mechanisms and policy suggestions for spent electric vehicles’ power battery -a case of beijing[J/OL]. Journal of Cleaner Production, 2018, 186: 388-406. DOI:10.1016/j.jclepro.2018.03.043.",2018
20,"Wang Ge, Zhang Qi, Li Yan, Li Hailong. Policy simulation for promoting residential PV considering anecdotal information exchanges based on social network modelling[J/OL]. Applied Energy, 2018, 223: 1-10. DOI:10.1016/j.apenergy.2018.04.028.",2018
6,"Zhang Qi, Wang Ge, Li Yan, Li Hailong, McLellan Benjamin, Chen Siyuan. Substitution effect of renewable portfolio standards and renewable energy certificate trading for feed-in tariff[J/OL]. Applied Energy, 2018, 227: 426-435. DOI:10.1016/j.apenergy.2017.07.118.",2018
39,"Chen Siyuan, Zhang Qi, Wang Ge, Zhu Lijing, Li Yan. Investment strategy for underground gas storage facilities based on real option model considering gas market reform in china[J/OL]. Energy Economics, 2018, 70: 132-142. DOI:10.1016/j.eneco.2017.12.034.",2018
24,"Tian Ruijie, Zhang Qi, Wang Ge, Li Hailong, Chen Siyuan, Li Yan, Tian Yulu. Study on the promotion of natural gas-fired electricity with energy market reform in china using a dynamic game-theoretic model[J/OL]. Applied Energy, 2017, 185, Part 2: 1832-1839. DOI:10.1016/j.apenergy.2015.11.079.",2017
22,"Wang Ge, Zhang Qi, Li Hailong, Li Yan, Chen Siyuan. The impact of social network on the adoption of real-time electricity pricing mechanism[J/OL]. Energy Procedia, 2017, 142: 3154-3159. DOI:10.1016/j.egypro.2017.12.383.",2017
21,"Wang Ge, Zhang Qi, Li Hailong, McLellan Benjamin C., Chen Siyuan, Li Yan, Tian Yulu. Study on the promotion impact of demand response on distributed PV penetration by using non-cooperative game theoretical analysis[J/OL]. Applied Energy, 2017, 185: 1869-1878. DOI:10.1016/j.apenergy.2016.01.016.",2017
11,"Zhang Qi, Li Yan, Li Hailong, Wang Ge, Chen Siyuan. Study on the impacts of the LNG market reform in china using a SVM based rolling horizon stochastic game analysis[J/OL]. Energy Procedia, 2017, 105: 3850-3855. DOI:10.1016/j.egypro.2017.03.786.",2017
7,"Zhang Qi, Wang Ge, Li Hailong, Li Yan, Chen Siyuan. Study on the implementation pathways and key impacts of RPS target in china using a dynamic game-theoretical equilibrium power market model[J/OL]. Energy Procedia, 2017, 105: 3844-3849. DOI:10.1016/j.egypro.2017.03.784.",2017
17,"Wang Ge, Zhang Qi, Mclellan Benjamin C., Li Hailong. Multi-region optimal deployment of renewable energy considering different interregional transmission scenarios[J/OL]. Energy, 2016, 108: 108-118. DOI:10.1016/j.energy.2015.08.060.",2016
10,"Zhang Qi, Li Zhan, Wang Ge, Li Hailong. Study on the impacts of natural gas supply cost on gas flow and infrastructure deployment in china[J/OL]. Applied Energy, 2016, 162: 1385-1398. DOI:10.1016/j.apenergy.2015.06.058.",2016
5,"Zhu Lijing, Lu Huihui, Zhang Qi, Li Hailong, Pan Xunzhang, Wang Ge, Li Yan. Application of crowdfunding on the financing of EV’s charging piles[J/OL]. Energy Procedia, 2016, 104: 336-341. DOI:10.1016/j.egypro.2016.12.057.",2016
4,"陈思源, 张奇, 王歌, 李彦. 基于博弈分析的我国天然气储气库开发策略及运营模式研究[J]. 石油科学通报, 2016(01): 175-182.",2016
23,"Tian Ruijie, Zhang Qi, Wang Ge. Market analysis of natural gas for power generation in china[J/OL]. Energy Procedia, 2015, 75: 2718-2723. DOI:10.1016/j.egypro.2015.07.699.",2015
28,"Su Difei, Zhang Qi, Wang Ge, Li Hailong. Market analysis of natural gas for district heating in china[J/OL]. Energy Procedia, 2015, 75: 2713-2717. DOI:10.1016/j.egypro.2015.07.693.",2015
15,"Wang Ge, Zhang Qi, Tian Ruijie, Li Hailong. Combined impacts of RTP and FIT on optimal management for a residential micro-grid[J/OL]. Energy Procedia, 2015, 75: 1666-1672. DOI:10.1016/j.egypro.2015.07.410.",2015
